Nombre para mostrar;Clr Clb Newucmdb;Clr Service Code;Subtipo;Grupo de administración de configuración;Clr Istatus;Título;Comentarios;Clr Arr Location;Fecha y hora de modificación del sistema
"win-balanceador";"true";"FQA0220";"Windows";"Datacenter - Admin Microsoft";"(activo)";"E-BUSINESS HOSTING DEDICADO";"SOP COM CORP// BOGOTÁ DC // DATACENTER TRIARA // HOSTING (HOSTING VIRTUAL)";"CLT142_TRI_DED_COREC1_ACI | Virtualization Layer Software (d-fqa0150-gbc15-20-2288hv5)";"17/02/23 22:41:38"
"vmpalmez";"true";"UCS0082";"Windows";"Datacenter - Admin Microsoft";"(activo)";"E-BUSINESS HOSTING DEDICADO";"DLok - Servicio de virtualizacion producción principal (TRIARA)";"CLT154_TRI_DED_CONSORCIO | Virtualization Layer Software (d-cme0293-gbc15-33-dl360g10)";"17/04/23 22:45:54"
"cmsdb2";"true";"TFM3780";"Windows";"Datacenter - Admin Microsoft";"(activo)";"Servicios Especiales Datacenter";"CI_PROYECTO_ACTUALIZACION_CMDB_VIRTUAL_6";"CLT221_TRI_INT_GESTIONCLARO | Virtualization Layer Software (d-tfm2936-gae15-0201-ch121v5)";"23/03/23 22:35:43"
"sanvsapp03";"true";"SANAU60";"Windows";"Datacenter - Admin Microsoft";"(activo)";"E-BUSINESS HOSTING DEDICADO";"SOP COM CORP  // BOGOTA // TRIARA  // HOSTING (HOSTING VIRTUAL) //  //AUTOMATICO MASIVO INCIDENTES";"CLT314_TRI_COM_OCTADECACORE09_ACI_ADD | Virtualization Layer Software (c-tfm4569-gaf03-08-sr645)";"17/04/23 22:36:35"
"prv0225";"true";"PRV1033";"Windows";"Datacenter - Admin Microsoft";"(activo)";"E-BUSINESS HOSTING DEDICADO";"SOP. COMERCIAL CORP. // CORREO // Bogotá // Triara // HOSTING";"CLT115_TRI_DED_GRUPOAVAL002 _FP | Virtualization Layer Software";"18/02/23 21:16:10"
"ticenergy";"true";"TKFV001";"Windows";"Datacenter - Admin Microsoft";"(activo)";"E-BUSINESS HOSTING DEDICADO";"SOP COM CORP// BOGOTA // TRIARA  // HOSTING (HOSTING VIRTUAL) // HOSTING PRD //";"CLT314_TRI_COM_OCTADECACORE09_ACI_ADD | Virtualization Layer Software (c-tfm4567-gbd15-22-sr645)";"19/02/23 09:00:50"
"col-db-erplb01";"true";"POH0037";"Windows";"Datacenter - Admin Microsoft";"(activo)";"E-BUSINESS HOSTING DEDICADO";"SOP COM CORP // BOGOTA // DATACENTER TRIAR  // HOSTING (HOSTING VIRTUAL) //AUTOMATICO MASIVO INCIDENTES";"CLT313_TRI_COM_OCTADECACORE08_ACI | Virtualization Layer Software (c-tfm4070-gax15-0213-ch121v5)";"11/04/23 22:36:28"
"webrtc2-1";"true";"TFM1576";"Windows";"Datacenter - Admin Microsoft";"(activo)";"E-BUSINESS HOSTING DEDICADO";"SOP COM CORP // MAIL // PROYECTO PCCAAS  // PLATAFORMA CONTACENTER // WEBRTC O VIDEOLLAMADA / ORTEZAL";"C06_PCAAS_ORTEZAL | Virtualization Layer Software (d-att3904-oad06-0204-bl460g8.datacenterdhs.local)";"17/02/23 22:41:15"
"bogota2";"true";"FDB0418";"Windows";"Datacenter - Admin Microsoft";"(activo)";"E-BUSINESS HOSTING DEDICADO";"PROYECTO ONBASE GESTION DOCUMENTAL FIDUBOGOTA // TRIARA // SERVIDOR VIRTUAL APP2 // HOSTING";"CLT308_TRI_COM_OCTADECACORE04_FP | Virtualization Layer Software (c-tfm2533-cn05-0203-ch121v5.datacenterdhs.local)";"15/03/23 22:55:44"
"hyperion11";"true";"BEB0030";"Windows";"Datacenter - Admin Microsoft";"(activo)";"E-BUSINESS HOSTING DEDICADO";"SOPORTE COMERCIAL CORP//CORREO// SERVICIOS ESPECIALES DATACENTER BEB0030";"CLT304_TRI_COM_DECACORE003_FP | Virtualization Layer Software (c-tfm1549-fae22-1209-bl460cg9.datacenterdhs.local)";"17/04/23 22:41:37"
"prdpvwpcpiap";"true";"ZBHB554";"Windows";"Datacenter - Admin Microsoft";"(activo)";"E-BUSINESS HOSTING DEDICADO";"SOP COM CORP  // BOGOTÁ // DATACENTER TRIARA, KILOMETRO. 7.5 VÍA SIBERIA CELTA TRADE PARK (FUNZA, CUNDINAMARCA) // HOSTING (HOSTING VIRTUAL) //  //  //AUTOMATICO MASIVO INCIDENTES";"CLT001_PREVISORA_TRIARA | Virtualization Layer Software (d-zbhb438-gaf03-27-dl360g10)";"19/04/23 22:53:19"
"frj0486";"true";"FRJ0486";"Windows";"Datacenter - Admin Microsoft";"(activo)";"E-BUSINESS HOSTING DEDICADO";"SOP COM CORP // BOGOTA // DATA CENTER TRIARA // HOSTING (HOSTING VIRTUAL) //AUTOMATICO MASIVO INCIDENTES";"CLT314_TRI_COM_OCTADECACORE09_ACI_ADD | Virtualization Layer Software";"01/03/23 22:40:43"
"wipaapprdsica02";"true";"SAS0253";"Windows";"Datacenter - Admin Microsoft";"(activo)";"Servicios Especiales Datacenter";"MV WIPAFTPPRDD01";"CLT126_TRI_DED_GRUPOAVAL004_FP | Virtualization Layer Software (d-tfm4559-cv20-0213-ch121v3)";"18/02/23 21:07:46"
"srvvcolombia";"true";"ZGKK192";"Windows";"Datacenter - Admin Microsoft";"(activo)";"Servicios Especiales Datacenter";"SOP COM CORP//  BOGOTÁ DC // DC INVIMA // SERVICIOS ESPECIALES DATACENTER (SERVICIOS ADMINISTRADOS IT)";"";"22/04/23 20:46:53"
"pathtrak01";"true";"TFM1364";"Windows";"Datacenter - Admin Microsoft";"(activo)";"Servicios Especiales Datacenter";"CI - PROYECTO INTERNO PATH TRAK";"CLT221_TRI_INT_GESTIONCLARO | Virtualization Layer Software (d-tfm2938-gae15-0203-ch121v5)";"11/04/23 22:37:47"
"jr0401-02";"true";"FQA0206";"Windows";"Datacenter - Admin Microsoft";"(activo)";"E-BUSINESS HOSTING DEDICADO";"SOP COM CORP// BOGOTÁ DC // DATACENTER TRIARA // HOSTING (HOSTING VIRTUAL)";"CLT142_TRI_DED_COREC1_ACI | Virtualization Layer Software (d-fqa0150-gbc15-20-2288hv5)";"17/02/23 22:36:26"
"teheran";"true";"TFM1207";"Windows";"Datacenter - Admin Microsoft";"(activo)";"Servicios Especiales Datacenter";"CI - SERVIDOR VIRTUAL SITESCOPE";"CLT212_TRI_INT_GESTION_MONITOREO | Virtualization Layer Software (d-tfm1935-ef26-2526-rh2288v3)";"17/04/23 22:32:57"
"ris_app_10";"true";"DHO0057";"Windows";"Datacenter - Admin Microsoft";"(activo)";"E-BUSINESS HOSTING DEDICADO";"SOP COM CORP // BOGOTA // DATACENTER TRIARA // HOSTING (HOSTING VIRTUAL)";"CLT118_TRI_DED_COLSANITAS | Virtualization Layer Software (d-dho0016-faz13-1210-bl460g10.datacenterdhs.local)";"17/02/23 22:39:47"
"destileria-2";"true";"WVC0021";"Windows";"Datacenter - Admin Microsoft";"(activo)";"SERVIDORES VIRTUALES";"VENTAS CLOUD CORPORATIVO / Servidores Virtuales / Win 2008 R2 Ent - (RAM 1 GB, vCPU 1, DD 50GB)";"CCP-PP01-CL02 | Virtualization Layer Software (ccp-pp01-cl02-esxvs009)";"17/04/23 22:34:30"
"anemona";"true";"FLP0083";"Windows";"Datacenter - Admin Microsoft";"(activo)";"E-BUSINESS HOSTING DEDICADO";"SOPORTE COMERCIAL CORPO // CORREO //   HOSTING (HOSTING VIRTUAL)//NO APLICA//BOGOTÁ//TRIARA";"CLT307_TRI_COM_OCTADECACORE03_FP | Virtualization Layer Software (c-tfm3083-cn05-0215-ch121v5.datacenterdhs.local)";"22/04/23 21:11:31"
"fa-sya";"true";"ZIFL017";"Windows";"Datacenter - Admin Microsoft";"(activo)";"E-BUSINESS HOSTING DEDICADO";"SOP COM CORP // BOGOTA // DATA CENTER TRIARA // HOSTING (HOSTING VIRTUAL)";"CLT313_TRI_COM_OCTADECACORE08_ACI | Virtualization Layer Software (c-tfm4076-gai12-0204-ch121v5)";"18/02/23 21:14:10"
"attis";"true";"KFFT193";"Windows";"Datacenter - Admin Microsoft";"(activo)";"E-BUSINESS HOSTING COMPARTIDO";"SOP COM CORP // BOGOTA // DATA CENTER TRIARA // HOSTING VIRTUAL // ATTIS";"CLT310_TRI_COM_OCTADECACORE06_ACI | Virtualization Layer Software (d-tfm3141-fbe38-0207-sn550g2)";"01/03/23 22:37:52"
"phv0217";"true";"PRV1030";"Windows";"Datacenter - Admin Microsoft";"(activo)";"E-BUSINESS HOSTING DEDICADO";"SOP. COMERCIAL CORP. // CORREO // Bogotá // Triara // HOSTING";"CLT115_TRI_DED_GRUPOAVAL002 _FP | Virtualization Layer Software (d-att4014-fbc30-1302-bl460cg8)";"18/04/23 22:39:03"
"prdpvwts3gr2ap2";"true";"ZBHB349";"Windows";"Datacenter - Admin Microsoft";"(activo)";"Servicios Especiales Datacenter";"SOP COM CORP//BOGOTÁ//DATACENTER TRIARA, KM. 7.5 VÍA SIBERIA CELTA TRADE PARK (FUNZA, CUNDINAMARCA)//SERVICIOS ESPECIALES DATACENTER (SERVIDORES VIRTUALES)//NO APLICA";"";"22/04/23 20:43:25"
"cctrws03";"true";"DHO0045";"Windows";"Datacenter - Admin Microsoft";"(activo)";"E-BUSINESS HOSTING DEDICADO";"SOP COMERCIAL CORP // CORREO //  BOGOTA // TRIARA // HOSTING (HOSTING VIRTUAL)";"CLT118_TRI_DED_COLSANITAS | Virtualization Layer Software (d-dho0050-faz13-0214-bl460g10)";"07/03/23 15:51:12"
